"","警察機關查獲毒品嫌疑犯人數─按年齡別分"
"98年 12月","  3,227","      -","      -","     53","    390","    686","  1,307","    592","    179","     12","      7","      1","      -","  2,767","      -","      -","     36","    296","    556","  1,154","    534","    172","     12","      6","      1","      -","    460","      -","      -","     17","     94","    130","    153","     58","      7","      -","      1","      -","      -"
"99年"," 51,078","      -","      1","  1,213","  5,640"," 10,632"," 20,844","  9,695","  2,726","    226","     63","     38","      -"," 43,401","      -","      1","    901","  4,258","  8,590"," 17,940","  8,870","  2,529","    216","     60","     36","      -","  7,677","      -","      -","    312","  1,382","  2,042","  2,904","    825","    197","     10","      3","      2","      -"
"99年 1月","  3,118","      -","      -","     65","    355","    696","  1,240","    585","    159","     11","      5","      2","      -","  2,644","      -","      -","     49","    283","    563","  1,069","    519","    143","     11","      5","      2","      -","    474","      -","      -","     16","     72","    133","    171","     66","     16","      -","      -","      -","      -"
"99年 2月","  5,079","      -","      -","    106","    533","  1,059","  2,103","    969","    281","     18","      7","      3","      -","  4,349","      -","      -","     83","    402","    856","  1,831","    897","    254","     16","      7","      3","      -","    730","      -","      -","     23","    131","    203","    272","     72","     27","      2","      -","      -","      -"
"99年 3月","  4,448","      -","      -","     87","    471","    956","  1,808","    864","    235","     16","      8","      3","      -","  3,749","      -","      -","     63","    353","    746","  1,562","    783","    215","     16","      8","      3","      -","    699","      -","      -","     24","    118","    210","    246","     81","     20","      -","      -","      -","      -"
"99年 4月","  4,178","      -","      -","     87","    413","    902","  1,699","    835","    216","     17","      6","      3","      -","  3,547","      -","      -","     63","    310","    729","  1,457","    759","    204","     17","      6","      2","      -","    631","      -","      -","     24","    103","    173","    242","     76","     12","      -","      -","      1","      -"
"99年 5月","  4,290","      -","      -","     78","    512","    947","  1,693","    799","    228","     18","      9","      6","      -","  3,654","      -","      -","     58","    382","    782","  1,469","    722","    212","     16","      7","      6","      -","    636","      -","      -","     20","    130","    165","    224","     77","     16","      2","      2","      -","      -"
"99年 6月","  3,434","      -","      -","     59","    366","    776","  1,389","    635","    179","     23","      4","      3","      -","  2,925","      -","      -","     34","    268","    639","  1,205","    583","    166","     23","      4","      3","      -","    509","      -","      -","     25","     98","    137","    184","     52","     13","      -","      -","      -","      -"
"99年 7月","  5,170","      -","      -","    146","    573","  1,045","  2,120","    980","    273","     21","      6","      6","      -","  4,372","      -","      -","    117","    424","    835","  1,818","    891","    256","     20","      6","      5","      -","    798","      -","      -","     29","    149","    210","    302","     89","     17","      1","      -","      1","      -"
"99年 8月","  5,424","      -","      -","    192","    621","  1,063","  2,210","  1,011","    293","     26","      3","      5","      -","  4,602","      -","      -","    140","    469","    839","  1,906","    942","    273","     25","      3","      5","      -","    822","      -","      -","     52","    152","    224","    304","     69","     20","      1","      -","      -","      -"
"99年 9月","  4,339","      -","      -","     95","    515","    897","  1,804","    791","    211","     18","      7","      1","      -","  3,701","      -","      -","     79","    386","    730","  1,556","    731","    194","     17","      7","      1","      -","    638","      -","      -","     16","    129","    167","    248","     60","     17","      1","      -","      -","      -"
"99年 10月","  4,258","      -","      1","     98","    467","    857","  1,776","    783","    251","     22","      2","      1","      -","  3,651","      -","      1","     74","    356","    708","  1,532","    722","    237","     19","      1","      1","      -","    607","      -","      -","     24","    111","    149","    244","     61","     14","      3","      1","      -","      -"
"99年 11月","  4,344","      -","      -","    149","    484","    825","  1,776","    836","    246","     22","      3","      3","      -","  3,661","      -","      -","    103","    379","    669","  1,481","    770","    231","     22","      3","      3","      -","    683","      -","      -","     46","    105","    156","    295","     66","     15","      -","      -","      -","      -"
"99年 12月","  2,996","      -","      -","     51","    330","    609","  1,226","    607","    154","     14","      3","      2","      -","  2,546","      -","      -","     38","    246","    494","  1,054","    551","    144","     14","      3","      2","      -","    450","      -","      -","     13","     84","    115","    172","     56","     10","      -","      -","      -","      -"
"100年"," 48,875","      -","      3","  1,317","  5,787","  9,127"," 20,045","  9,457","  2,791","    249","     53","     46","      -"," 41,453","      -","      3","    986","  4,447","  7,392"," 17,156","  8,559","  2,586","    233","     47","     44","      -","  7,422","      -","      -","    331","  1,340","  1,735","  2,889","    898","    205","     16","      6","      2","      -"
"100年 1月","  4,425","      -","      -","     69","    550","    928","  1,806","    801","    238","     22","      6","      5","      -","  3,772","      -","      -","     40","    435","    763","  1,546","    736","    220","     22","      5","      5","      -","    653","      -","      -","     29","    115","    165","    260","     65","     18","      -","      1","      -","      -"
"100年 2月","  3,282","      -","      1","     67","    393","    639","  1,350","    623","    175","     19","      5","     10","      -","  2,820","      -","      1","     52","    297","    536","  1,165","    574","    162","     19","      5","      9","      -","    462","      -","      -","     15","     96","    103","    185","     49","     13","      -","      -","      1","      -"
"100年 3月","  4,489","      -","      -","    116","    557","    869","  1,802","    872","    243","     19","      7","      4","      -","  3,818","      -","      -","     85","    430","    706","  1,548","    795","    227","     16","      7","      4","      -","    671","      -","      -","     31","    127","    163","    254","     77","     16","      3","      -","      -","      -"
"100年 4月","  3,931","      -","      -","     97","    471","    740","  1,620","    771","    204","     19","      5","      4","      -","  3,308","      -","      -","     70","    351","    596","  1,396","    683","    188","     18","      2","      4","      -","    623","      -","      -","     27","    120","    144","    224","     88","     16","      1","      3","      -","      -"
"100年 5月","  4,108","      -","      2","    116","    456","    796","  1,689","    767","    248","     30","      3","      1","      -","  3,470","      -","      2","     87","    344","    621","  1,449","    703","    234","     26","      3","      1","      -","    638","      -","      -","     29","    112","    175","    240","     64","     14","      4","      -","      -","      -"
"100年 6月","  3,349","      -","      -","     69","    408","    625","  1,339","    679","    204","     15","      5","      5","      -","  2,841","      -","      -","     56","    311","    508","  1,133","    619","    190","     15","      5","      4","      -","    508","      -","      -","     13","     97","    117","    206","     60","     14","      -","      -","      1","      -"
"100年 7月","  5,723","      -","      -","    239","    682","  1,011","  2,314","  1,111","    333","     27","      6","      -","      -","  4,859","      -","      -","    183","    523","    834","  1,964","  1,014","    310","     26","      5","      -","      -","    864","      -","      -","     56","    159","    177","    350","     97","     23","      1","      1","      -","      -"
"100年 8月","  5,582","      -","      -","    260","    744","    997","  2,184","  1,050","    312","     23","      8","      4","      -","  4,727","      -","      -","    207","    582","    824","  1,863","    929","    289","     21","      8","      4","      -","    855","      -","      -","     53","    162","    173","    321","    121","     23","      2","      -","      -","      -"
"100年 9月","  3,555","      -","      -","     84","    431","    683","  1,476","    661","    200","     14","      2","      4","      -","  3,001","      -","      -","     58","    330","    558","  1,260","    594","    181","     14","      2","      4","      -","    554","      -","      -","     26","    101","    125","    216","     67","     19","      -","      -","      -","      -"
"100年 10月","  3,766","      -","      -","     77","    372","    665","  1,632","    778","    213","     20","      3","      6","      -","  3,205","      -","      -","     58","    291","    537","  1,395","    702","    195","     18","      3","      6","      -","    561","      -","      -","     19","     81","    128","    237","     76","     18","      2","      -","      -","      -"
"100年 11月","  3,918","      -","      -","     68","    444","    682","  1,654","    804","    242","     23","      1","      -","      -","  3,304","      -","      -","     49","    341","    529","  1,427","    714","    222","     22","      -","      -","      -","    614","      -","      -","     19","    103","    153","    227","     90","     20","      1","      1","      -","      -"
"100年 12月","  2,747","      -","      -","     55","    279","    492","  1,179","    540","    179","     18","      2","      3","      -","  2,328","      -","      -","     41","    212","    380","  1,010","    496","    168","     16","      2","      3","      -","    419","      -","      -","     14","     67","    112","    169","     44","     11","      2","      -","      -","      -"
"101年"," 47,043","      -","      3","  1,655","  5,908","  7,849"," 18,803","  9,262","  2,959","    266","     60","    275","      3"," 39,968","      -","      3","  1,342","  4,634","  6,350"," 15,978","  8,404","  2,718","    256","     53","    227","      3","  7,075","      -","      -","    313","  1,274","  1,499","  2,825","    858","    241","     10","      7","     48","      -"
"101年 1月","  3,561","      -","      -","    122","    431","    577","  1,480","    688","    241","     18","      2","      2","      -","  2,980","      -","      -","     87","    326","    467","  1,246","    615","    218","     17","      2","      2","      -","    581","      -","      -","     35","    105","    110","    234","     73","     23","      1","      -","      -","      -"
"101年 2月","  3,938","      -","      -","    136","    477","    720","  1,560","    767","    229","     20","      7","     22","      -","  3,389","      -","      -","    109","    376","    588","  1,347","    714","    211","     19","      6","     19","      -","    549","      -","      -","     27","    101","    132","    213","     53","     18","      1","      1","      3","      -"
"101年 3月","  3,872","      -","      -","     79","    437","    662","  1,633","    754","    227","     17","      7","     56","      -","  3,274","      -","      -","     63","    348","    521","  1,392","    675","    205","     17","      7","     46","      -","    598","      -","      -","     16","     89","    141","    241","     79","     22","      -","      -","     10","      -"
"101年 4月","  4,237","      -","      1","     87","    451","    714","  1,747","    890","    264","     21","      7","     55","      -","  3,578","      -","      1","     70","    359","    580","  1,461","    805","    236","     17","      6","     43","      -","    659","      -","      -","     17","     92","    134","    286","     85","     28","      4","      1","     12","      -"
"101年 5月","  3,952","      -","      -","     77","    441","    634","  1,587","    847","    260","     26","      4","     75","      1","  3,358","      -","      -","     55","    334","    505","  1,351","    776","    247","     26","      2","     61","      1","    594","      -","      -","     22","    107","    129","    236","     71","     13","      -","      2","     14","      -"
"101年 6月","  2,647","      -","      -","     24","    333","    412","  1,027","    609","    182","     17","      4","     39","      -","  2,225","      -","      -","     20","    258","    334","    859","    537","    164","     17","      3","     33","      -","    422","      -","      -","      4","     75","     78","    168","     72","     18","      -","      1","      6","      -"
"101年 7月","  4,660","      -","      -","    335","    583","    718","  1,848","    860","    279","     24","      6","      7","      -","  3,954","      -","      -","    275","    465","    577","  1,548","    790","    265","     23","      5","      6","      -","    706","      -","      -","     60","    118","    141","    300","     70","     14","      1","      1","      1","      -"
"101年 8月","  4,891","      -","      -","    382","    718","    771","  1,810","    864","    312","     20","      5","      9","      -","  4,172","      -","      -","    324","    574","    623","  1,548","    785","    284","     20","      5","      9","      -","    719","      -","      -","     58","    144","    148","    262","     79","     28","      -","      -","      -","      -"
"101年 9月","  3,766","      -","      -","    106","    444","    656","  1,526","    765","    243","     20","      2","      3","      1","  3,218","      -","      -","     87","    353","    533","  1,300","    697","    222","     20","      2","      3","      1","    548","      -","      -","     19","     91","    123","    226","     68","     21","      -","      -","      -","      -"
"101年 10月","  4,039","      -","      -","     93","    542","    730","  1,597","    782","    258","     24","      8","      4","      1","  3,431","      -","      -","     77","    425","    598","  1,355","    704","    237","     24","      7","      3","      1","    608","      -","      -","     16","    117","    132","    242","     78","     21","      -","      1","      1","      -"
"101年 11月","  4,012","      -","      1","     88","    530","    651","  1,639","    795","    265","     37","      5","      1","      -","  3,421","      -","      1","     68","    409","    517","  1,419","    723","    243","     35","      5","      1","      -","    591","      -","      -","     20","    121","    134","    220","     72","     22","      2","      -","      -","      -"
"101年 12月","  3,468","      -","      1","    126","    521","    604","  1,349","    641","    199","     22","      3","      2","      -","  2,968","      -","      1","    107","    407","    507","  1,152","    583","    186","     21","      3","      1","      -","    500","      -","      -","     19","    114","     97","    197","     58","     13","      1","      -","      1","      -"
"102年"," 43,268","      -","      1","  1,519","  5,972","  6,943"," 16,917","  8,754","  2,768","    299","     68","     24","      3"," 36,994","      -","      1","  1,253","  4,860","  5,647"," 14,378","  7,900","  2,579","    285","     64","     24","      3","  6,274","      -","      -","    266","  1,112","  1,296","  2,539","    854","    189","     14","      4","      -","      -"
"102年 1月","  3,586","      -","      -","    129","    569","    668","  1,333","    650","    207","     24","      5","      1","      -","  3,022","      -","      -","    104","    452","    542","  1,112","    589","    194","     23","      5","      1","      -","    564","      -","      -","     25","    117","    126","    221","     61","     13","      1","      -","      -","      -"
"102年 2月","  4,349","      -","      -","    265","    671","    719","  1,620","    788","    247","     26","     10","      3","      -","  3,702","      -","      -","    219","    554","    569","  1,385","    707","    230","     25","     10","      3","      -","    647","      -","      -","     46","    117","    150","    235","     81","     17","      1","      -","      -","      -"
"102年 3月","  4,202","      -","      -","    141","    565","    678","  1,633","    864","    279","     33","      6","      3","      -","  3,610","      -","      -","    116","    453","    557","  1,386","    795","    262","     32","      6","      3","      -","    592","      -","      -","     25","    112","    121","    247","     69","     17","      1","      -","      -","      -"
"102年 4月","  3,368","      -","      -","     94","    448","    519","  1,334","    714","    228","     27","      3","      1","      -","  2,891","      -","      -","     80","    365","    423","  1,134","    653","    208","     24","      3","      1","      -","    477","      -","      -","     14","     83","     96","    200","     61","     20","      3","      -","      -","      -"
"102年 5月","  3,737","      -","      1","    101","    514","    555","  1,526","    760","    238","     30","      7","      5","      -","  3,234","      -","      1","     80","    415","    461","  1,330","    689","    219","     28","      6","      5","      -","    503","      -","      -","     21","     99","     94","    196","     71","     19","      2","      1","      -","      -"
"102年 6月","  3,056","      -","      -","     47","    388","    537","  1,246","    619","    195","     13","      6","      4","      1","  2,596","      -","      -","     35","    309","    434","  1,051","    557","    186","     13","      6","      4","      1","    460","      -","      -","     12","     79","    103","    195","     62","      9","      -","      -","      -","      -"
"102年 7月","  3,989","      -","      -","    329","    633","    609","  1,408","    745","    230","     34","      1","      -","      -","  3,431","      -","      -","    276","    528","    492","  1,210","    675","    217","     32","      1","      -","      -","    558","      -","      -","     53","    105","    117","    198","     70","     13","      2","      -","      -","      -"
"102年 8月","  3,822","      -","      -","    195","    552","    593","  1,440","    774","    235","     29","      4","      -","      -","  3,270","      -","      -","    165","    442","    492","  1,228","    696","    216","     27","      4","      -","      -","    552","      -","      -","     30","    110","    101","    212","     78","     19","      2","      -","      -","      -"
"102年 9月","  3,306","      -","      -","     60","    454","    544","  1,309","    701","    212","     22","      2","      2","      -","  2,848","      -","      -","     53","    362","    449","  1,131","    630","    197","     22","      2","      2","      -","    458","      -","      -","      7","     92","     95","    178","     71","     15","      -","      -","      -","      -"
"102年 10月","  3,501","      -","      -","     57","    430","    567","  1,419","    762","    236","     21","      8","      1","      -","  2,987","      -","      -","     45","    370","    452","  1,197","    675","    220","     21","      6","      1","      -","    514","      -","      -","     12","     60","    115","    222","     87","     16","      -","      2","      -","      -"
"102年 11月","  3,664","      -","      -","     52","    434","    518","  1,521","    825","    269","     30","     11","      2","      2","  3,120","      -","      -","     43","    356","    420","  1,277","    732","    249","     28","     11","      2","      2","    544","      -","      -","      9","     78","     98","    244","     93","     20","      2","      -","      -","      -"
"102年 12月","  2,688","      -","      -","     49","    314","    436","  1,128","    552","    192","     10","      5","      2","      -","  2,283","      -","      -","     37","    254","    356","    937","    502","    181","     10","      4","      2","      -","    405","      -","      -","     12","     60","     80","    191","     50","     11","      -","      1","      -","      -"
"103年"," 41,265","      -","      5","  1,381","  5,280","  5,935"," 16,351","  8,964","  2,933","    324","     63","     29","      -"," 35,753","      -","      1","  1,097","  4,496","  4,839"," 14,021","  8,174","  2,739","    301","     60","     25","      -","  5,512","      -","      4","    284","    784","  1,096","  2,330","    790","    194","     23","      3","      4","      -"
"103年 1月","  3,674","      -","      -","    126","    479","    528","  1,484","    746","    276","     25","      8","      2","      -","  3,206","      -","      -","    111","    412","    451","  1,280","    665","    255","     22","      8","      2","      -","    468","      -","      -","     15","     67","     77","    204","     81","     21","      3","      -","      -","      -"
"103年 2月","  3,402","      -","      1","    176","    464","    491","  1,340","    693","    206","     25","      5","      1","      -","  2,908","      -","      1","    132","    392","    391","  1,142","    623","    199","     22","      5","      1","      -","    494","      -","      -","     44","     72","    100","    198","     70","      7","      3","      -","      -","      -"
"103年 3月","  3,132","      -","      -","     69","    397","    500","  1,267","    670","    208","     18","      2","      1","      -","  2,703","      -","      -","     53","    332","    405","  1,080","    613","    199","     18","      2","      1","      -","    429","      -","      -","     16","     65","     95","    187","     57","      9","      -","      -","      -","      -"
"103年 4月","  3,123","      -","      -","     62","    357","    481","  1,197","    746","    243","     28","      4","      5","      -","  2,692","      -","      -","     52","    301","    366","  1,028","    686","    226","     24","      4","      5","      -","    431","      -","      -","     10","     56","    115","    169","     60","     17","      4","      -","      -","      -"
"103年 5月","  3,262","      -","      -","     78","    414","    459","  1,286","    748","    242","     27","      6","      2","      -","  2,807","      -","      -","     64","    350","    374","  1,079","    683","    225","     24","      6","      2","      -","    455","      -","      -","     14","     64","     85","    207","     65","     17","      3","      -","      -","      -"
"103年 6月","  3,155","      -","      -","     43","    361","    450","  1,311","    718","    233","     30","      3","      6","      -","  2,737","      -","      -","     30","    297","    364","  1,151","    644","    214","     30","      2","      5","      -","    418","      -","      -","     13","     64","     86","    160","     74","     19","      -","      1","      1","      -"
"103年 7月","  4,218","      -","      1","    267","    616","    573","  1,574","    882","    269","     26","      7","      3","      -","  3,626","      -","      -","    209","    532","    466","  1,333","    799","    254","     24","      7","      2","      -","    592","      -","      1","     58","     84","    107","    241","     83","     15","      2","      -","      1","      -"
"103年 8月","  3,974","      -","      -","    248","    554","    558","  1,502","    805","    274","     25","      7","      1","      -","  3,441","      -","      -","    201","    490","    449","  1,282","    735","    252","     25","      6","      1","      -","    533","      -","      -","     47","     64","    109","    220","     70","     22","      -","      1","      -","      -"
"103年 9月","  3,906","      -","      3","     81","    452","    570","  1,578","    850","    325","     37","      8","      2","      -","  3,390","      -","      -","     65","    386","    471","  1,354","    770","    300","     34","      8","      2","      -","    516","      -","      3","     16","     66","     99","    224","     80","     25","      3","      -","      -","      -"
"103年 10月","  3,489","      -","      -","     89","    420","    472","  1,441","    790","    242","     27","      5","      3","      -","  3,055","      -","      -","     72","    355","    397","  1,237","    731","    231","     26","      4","      2","      -","    434","      -","      -","     17","     65","     75","    204","     59","     11","      1","      1","      1","      -"
"103年 11月","  3,289","      -","      -","     74","    419","    467","  1,341","    710","    239","     31","      6","      2","      -","  2,884","      -","      -","     62","    355","    389","  1,168","    655","    219","     29","      6","      1","      -","    405","      -","      -","     12","     64","     78","    173","     55","     20","      2","      -","      1","      -"
"103年 12月","  2,641","      -","      -","     68","    347","    386","  1,030","    606","    176","     25","      2","      1","      -","  2,304","      -","      -","     46","    294","    316","    887","    570","    165","     23","      2","      1","      -","    337","      -","      -","     22","     53","     70","    143","     36","     11","      2","      -","      -","      -"

