,year,population,exchange_rate,economy_growth,gdp_nt_dollar(unit: million),gdp_us_dollar(unit: million),gdp_avg_nt_dollar,gdp_avg_us_dollar,gni_nt_dollar(unit: million),gni_us_dollar(unit: million),gni_avg_nt_dollar,gni_avg_us_dollar,ni_nt_dollar,ni_us_dollar,avg_income_nt_dollar,avg_income_us_dollar
0,40年,7758202.0,10.3,－,12327.0,1197.0,1589.0,154.0,12320.0,1196.0,1588.0,154.0,12276.0,1192.0,1582.0,154.0
1,41年,8046915.0,10.3,12.0,17275.0,1677.0,2147.0,208.0,17271.0,1677.0,2146.0,208.0,17119.0,1662.0,2127.0,207.0
2,42年,8333009.0,15.55,9.49,23036.0,1481.0,2764.0,178.0,23032.0,1481.0,2764.0,178.0,22712.0,1461.0,2726.0,175.0
3,43年,8645264.0,15.55,9.64,25315.0,1628.0,2928.0,188.0,25311.0,1628.0,2928.0,188.0,24759.0,1592.0,2864.0,184.0
4,44年,8967001.0,15.55,7.72,30163.0,1940.0,3364.0,216.0,30160.0,1940.0,3363.0,216.0,29326.0,1886.0,3270.0,210.0
5,45年,9289545.0,24.78,6.17,34672.0,1399.0,3732.0,151.0,34665.0,1399.0,3732.0,151.0,33546.0,1354.0,3611.0,146.0
6,46年,9597690.0,24.78,7.81,40549.0,1636.0,4225.0,170.0,40494.0,1634.0,4219.0,170.0,38965.0,1572.0,4060.0,164.0
7,47年,9920227.0,24.78,7.68,45498.0,1836.0,4586.0,185.0,45317.0,1829.0,4568.0,184.0,43409.0,1752.0,4376.0,177.0
8,48年,10288327.0,36.38,8.81,52526.0,1444.0,5105.0,140.0,52370.0,1440.0,5090.0,140.0,49984.0,1374.0,4858.0,134.0
9,49年,10667705.0,36.38,7.2,63398.0,1743.0,5943.0,163.0,63371.0,1742.0,5940.0,163.0,60483.0,1663.0,5670.0,156.0
10,50年,11030385.0,40.0,7.05,71128.0,1778.0,6448.0,161.0,71045.0,1776.0,6441.0,161.0,67549.0,1689.0,6124.0,153.0
11,  Ⅰ,10895610.0,40.0,－,17545.0,439.0,1610.0,40.0,17524.0,438.0,1609.0,40.0,－,－,－,－
12,  Ⅱ,10985460.0,40.0,－,17270.0,432.0,1572.0,39.0,17249.0,431.0,1571.0,39.0,－,－,－,－
13,  Ⅲ,11075310.0,40.0,－,16214.0,405.0,1464.0,37.0,16194.0,405.0,1463.0,37.0,－,－,－,－
14,  Ⅳ,11165159.0,40.0,－,20099.0,502.0,1802.0,45.0,20078.0,502.0,1798.0,45.0,－,－,－,－
15,51年,11392513.0,40.0,8.93,78412.0,1960.0,6883.0,172.0,78302.0,1958.0,6873.0,172.0,74227.0,1856.0,6515.0,163.0
16,  Ⅰ,11255692.0,40.0,8.87,18729.0,468.0,1665.0,42.0,18701.0,468.0,1662.0,42.0,－,－,－,－
17,  Ⅱ,11346906.0,40.0,9.11,19149.0,479.0,1689.0,42.0,19122.0,478.0,1686.0,42.0,－,－,－,－
18,  Ⅲ,11438121.0,40.0,12.39,18535.0,463.0,1621.0,41.0,18508.0,463.0,1619.0,40.0,－,－,－,－
19,  Ⅳ,11529335.0,40.0,6.05,21999.0,550.0,1908.0,47.0,21971.0,549.0,1906.0,48.0,－,－,－,－
20,52年,11762101.0,40.0,10.74,88740.0,2219.0,7545.0,189.0,88627.0,2216.0,7535.0,188.0,84170.0,2104.0,7156.0,179.0
21,  Ⅰ,11621732.0,40.0,14.39,21915.0,548.0,1887.0,47.0,21886.0,547.0,1883.0,47.0,－,－,－,－
22,  Ⅱ,11715312.0,40.0,10.91,21580.0,540.0,1842.0,46.0,21551.0,539.0,1840.0,46.0,－,－,－,－
23,  Ⅲ,11808891.0,40.0,7.35,20498.0,512.0,1736.0,43.0,20470.0,512.0,1733.0,43.0,－,－,－,－
24,  Ⅳ,11902471.0,40.0,10.33,24747.0,619.0,2080.0,53.0,24720.0,618.0,2079.0,52.0,－,－,－,－
25,53年,12137143.0,40.0,12.63,103673.0,2592.0,8542.0,214.0,103689.0,2592.0,8543.0,214.0,98520.0,2463.0,8117.0,203.0
26,  Ⅰ,11996231.0,40.0,12.94,26285.0,657.0,2191.0,55.0,26266.0,657.0,2190.0,55.0,－,－,－,－
27,  Ⅱ,12090172.0,40.0,13.96,25539.0,638.0,2112.0,53.0,25536.0,638.0,2112.0,53.0,－,－,－,－
28,  Ⅲ,12184114.0,40.0,13.4,23734.0,593.0,1948.0,49.0,23742.0,594.0,1949.0,49.0,－,－,－,－
29,  Ⅳ,12278055.0,40.0,10.57,28115.0,704.0,2291.0,57.0,28145.0,703.0,2292.0,57.0,－,－,－,－
30,54年,12511863.0,40.0,11.89,114771.0,2869.0,9173.0,229.0,114577.0,2864.0,9157.0,229.0,108626.0,2716.0,8682.0,217.0
31,  Ⅰ,12371735.0,40.0,10.32,28202.0,705.0,2280.0,57.0,28154.0,704.0,2276.0,57.0,－,－,－,－
32,  Ⅱ,12465154.0,40.0,11.48,28599.0,715.0,2294.0,57.0,28550.0,714.0,2290.0,57.0,－,－,－,－
33,  Ⅲ,12558572.0,40.0,12.91,26824.0,671.0,2136.0,53.0,26775.0,669.0,2132.0,53.0,－,－,－,－
34,  Ⅳ,12651991.0,40.0,12.81,31146.0,778.0,2463.0,62.0,31098.0,777.0,2459.0,62.0,－,－,－,－
35,55年,12874153.0,40.0,9.63,128282.0,3207.0,9964.0,249.0,128185.0,3205.0,9957.0,249.0,121282.0,3032.0,9421.0,236.0
36,  Ⅰ,12742563.0,40.0,6.62,30409.0,760.0,2387.0,60.0,30398.0,760.0,2387.0,60.0,28847.0,721.0,2265.0,57.0
37,  Ⅱ,12830290.0,40.0,9.84,31381.0,785.0,2447.0,61.0,31364.0,784.0,2446.0,61.0,29714.0,743.0,2317.0,58.0
38,  Ⅲ,12918016.0,40.0,13.3,30925.0,773.0,2395.0,60.0,30903.0,773.0,2393.0,60.0,29089.0,727.0,2253.0,56.0
39,  Ⅳ,13005742.0,40.0,9.01,35567.0,889.0,2735.0,68.0,35520.0,888.0,2731.0,68.0,33632.0,841.0,2586.0,65.0
40,56年,13210344.0,40.0,11.15,148360.0,3709.0,11231.0,281.0,148037.0,3701.0,11206.0,280.0,139680.0,3492.0,10574.0,264.0
41,  Ⅰ,13089790.0,40.0,12.3,35265.0,882.0,2695.0,67.0,35197.0,880.0,2690.0,67.0,33297.0,832.0,2545.0,64.0
42,  Ⅱ,13170160.0,40.0,10.49,35665.0,892.0,2709.0,68.0,35582.0,890.0,2703.0,68.0,33552.0,839.0,2549.0,64.0
43,  Ⅲ,13250529.0,40.0,8.95,36030.0,901.0,2720.0,68.0,35950.0,899.0,2714.0,68.0,33784.0,845.0,2551.0,64.0
44,  Ⅳ,13330899.0,40.0,12.68,41400.0,1034.0,3107.0,78.0,41308.0,1032.0,3099.0,77.0,39047.0,976.0,2929.0,72.0
45,57年,13548537.0,40.0,9.71,173026.0,4326.0,12771.0,319.0,172568.0,4314.0,12737.0,318.0,162303.0,4058.0,11979.0,299.0
46,  Ⅰ,13415447.0,40.0,8.44,39995.0,1000.0,2983.0,75.0,39910.0,998.0,2976.0,74.0,37582.0,940.0,2802.0,70.0
47,  Ⅱ,13504174.0,40.0,9.02,41599.0,1040.0,3082.0,77.0,41539.0,1038.0,3077.0,77.0,39079.0,977.0,2895.0,72.0
48,  Ⅲ,13592901.0,40.0,12.88,43049.0,1076.0,3169.0,79.0,42949.0,1074.0,3161.0,79.0,40271.0,1007.0,2964.0,74.0
49,  Ⅳ,13681628.0,40.0,8.72,48383.0,1210.0,3537.0,88.0,48170.0,1204.0,3523.0,88.0,45371.0,1134.0,3318.0,83.0
50,58年,14068984.0,40.0,9.59,200707.0,5018.0,14266.0,357.0,200460.0,5012.0,14248.0,356.0,187720.0,4693.0,13343.0,334.0
51,  Ⅰ,13811739.0,40.0,11.56,47921.0,1198.0,3472.0,87.0,47847.0,1196.0,3465.0,87.0,44910.0,1123.0,3253.0,81.0
52,  Ⅱ,13983236.0,40.0,9.98,48737.0,1218.0,3487.0,87.0,48665.0,1217.0,3481.0,87.0,45563.0,1139.0,3259.0,81.0
53,  Ⅲ,14154732.0,40.0,9.9,49360.0,1234.0,3489.0,87.0,49325.0,1233.0,3486.0,87.0,46062.0,1152.0,3255.0,81.0
54,  Ⅳ,14326228.0,40.0,7.27,54689.0,1368.0,3818.0,96.0,54623.0,1366.0,3816.0,95.0,51185.0,1279.0,3576.0,91.0
55,59年,14582944.0,40.0,11.51,231427.0,5786.0,15870.0,397.0,231015.0,5775.0,15841.0,396.0,216219.0,5405.0,14827.0,371.0
56,  Ⅰ,14456789.0,40.0,8.07,53504.0,1338.0,3701.0,93.0,53479.0,1337.0,3699.0,92.0,50103.0,1253.0,3466.0,87.0
57,  Ⅱ,14539891.0,40.0,13.14,57206.0,1430.0,3934.0,98.0,57084.0,1427.0,3926.0,98.0,53497.0,1337.0,3679.0,92.0
58,  Ⅲ,14615985.0,40.0,11.32,57392.0,1435.0,3927.0,98.0,57406.0,1435.0,3928.0,98.0,53606.0,1340.0,3668.0,92.0
59,  Ⅳ,14704093.0,40.0,13.32,63325.0,1583.0,4308.0,108.0,63046.0,1576.0,4288.0,108.0,59013.0,1475.0,4014.0,100.0
60,60年,14913564.0,40.0,13.43,269114.0,6728.0,18045.0,451.0,268992.0,6725.0,18037.0,451.0,251214.0,6280.0,16845.0,421.0
61,  Ⅰ,14795178.0,40.0,13.58,62998.0,1575.0,4258.0,106.0,63017.0,1575.0,4260.0,106.0,58933.0,1473.0,3984.0,100.0
62,  Ⅱ,14874437.0,40.0,16.26,67093.0,1677.0,4512.0,113.0,66951.0,1674.0,4502.0,113.0,62688.0,1567.0,4215.0,105.0
63,  Ⅲ,14947675.0,40.0,14.54,66623.0,1666.0,4457.0,111.0,66565.0,1664.0,4454.0,111.0,62052.0,1551.0,4152.0,104.0
64,  Ⅳ,15028940.0,40.0,9.76,72400.0,1810.0,4818.0,121.0,72459.0,1812.0,4821.0,121.0,67541.0,1689.0,4494.0,112.0
65,61年,15220495.0,40.0,13.87,322536.0,8063.0,21191.0,530.0,322604.0,8065.0,21195.0,530.0,299947.0,7499.0,19707.0,493.0
66,  Ⅰ,15109925.0,40.0,14.41,75626.0,1891.0,5004.0,125.0,75366.0,1884.0,4987.0,125.0,70188.0,1755.0,4644.0,116.0
67,  Ⅱ,15177272.0,40.0,14.02,80497.0,2012.0,5303.0,133.0,80563.0,2014.0,5307.0,133.0,75153.0,1879.0,4951.0,124.0
68,  Ⅲ,15243614.0,40.0,12.29,80079.0,2002.0,5252.0,131.0,79958.0,1999.0,5244.0,131.0,74159.0,1854.0,4864.0,122.0
69,  Ⅳ,15323024.0,40.0,14.73,86334.0,2158.0,5632.0,141.0,86717.0,2168.0,5657.0,141.0,80447.0,2011.0,5248.0,131.0
70,62年,15505121.0,38.25,12.83,418495.0,10941.0,26991.0,706.0,418379.0,10938.0,26983.0,705.0,385840.0,10087.0,24885.0,651.0
71,  Ⅰ,15398584.0,39.0,14.36,92374.0,2367.0,6001.0,154.0,92409.0,2367.0,6003.0,154.0,85654.0,2194.0,5564.0,143.0
72,  Ⅱ,15466929.0,38.0,10.46,98004.0,2577.0,6338.0,167.0,97984.0,2577.0,6337.0,167.0,90552.0,2381.0,5857.0,154.0
73,  Ⅲ,15537283.0,38.0,14.93,105494.0,2773.0,6793.0,179.0,105138.0,2764.0,6769.0,178.0,96495.0,2537.0,6213.0,163.0
74,  Ⅳ,15608643.0,38.0,11.8,122623.0,3224.0,7859.0,206.0,122848.0,3230.0,7874.0,206.0,113139.0,2975.0,7251.0,191.0
75,63年,15784817.0,38.0,2.67,560129.0,14740.0,35485.0,934.0,559952.0,14736.0,35474.0,934.0,508358.0,13378.0,32206.0,848.0
76,  Ⅰ,15676296.0,38.0,7.01,138058.0,3633.0,8805.0,232.0,138229.0,3638.0,8816.0,232.0,125926.0,3314.0,8031.0,211.0
77,  Ⅱ,15744624.0,38.0,3.47,142849.0,3759.0,9071.0,239.0,142329.0,3746.0,9038.0,238.0,129535.0,3409.0,8225.0,217.0
78,  Ⅲ,15812952.0,38.0,0.11,137738.0,3625.0,8708.0,229.0,137527.0,3619.0,8695.0,229.0,124349.0,3272.0,7862.0,207.0
79,  Ⅳ,15889319.0,38.0,0.36,141484.0,3723.0,8901.0,234.0,141867.0,3733.0,8925.0,235.0,128548.0,3383.0,8088.0,213.0
80,64年,16075128.0,38.0,6.19,601827.0,15838.0,37438.0,985.0,598483.0,15750.0,37230.0,980.0,538409.0,14169.0,33493.0,881.0
81,  Ⅰ,15967632.0,38.0,-2.81,139697.0,3676.0,8749.0,230.0,139315.0,3666.0,8725.0,230.0,124593.0,3279.0,7803.0,205.0
82,  Ⅱ,16036952.0,38.0,4.5,147769.0,3889.0,9214.0,242.0,147027.0,3869.0,9168.0,241.0,132374.0,3484.0,8254.0,217.0
83,  Ⅲ,16101248.0,38.0,10.67,151956.0,3999.0,9438.0,248.0,150615.0,3964.0,9354.0,246.0,135333.0,3561.0,8405.0,221.0
84,  Ⅳ,16180614.0,38.0,12.34,162405.0,4274.0,10037.0,265.0,161526.0,4251.0,9983.0,263.0,146109.0,3845.0,9031.0,238.0
85,65年,16401413.0,38.0,14.28,721583.0,18989.0,43995.0,1158.0,716567.0,18857.0,43689.0,1150.0,645348.0,16983.0,39347.0,1035.0
86,  Ⅰ,16256774.0,38.0,15.96,168312.0,4429.0,10342.0,272.0,167297.0,4403.0,10281.0,271.0,150517.0,3961.0,9250.0,243.0
87,  Ⅱ,16328089.0,38.0,14.29,177474.0,4670.0,10858.0,286.0,175780.0,4626.0,10754.0,283.0,158535.0,4172.0,9699.0,255.0
88,  Ⅲ,16414471.0,38.0,12.83,181952.0,4788.0,11074.0,292.0,180921.0,4761.0,11011.0,290.0,162603.0,4279.0,9896.0,260.0
89,  Ⅳ,16521945.0,38.0,14.21,193845.0,5102.0,11721.0,308.0,192569.0,5067.0,11643.0,306.0,173693.0,4571.0,10502.0,277.0
90,66年,16730895.0,38.0,11.41,845657.0,22254.0,50545.0,1330.0,840533.0,22119.0,50238.0,1322.0,757095.0,19924.0,45251.0,1191.0
91,  Ⅰ,16615413.0,38.0,11.98,194267.0,5112.0,11694.0,308.0,193971.0,5105.0,11675.0,307.0,173715.0,4571.0,10456.0,275.0
92,  Ⅱ,16688719.0,38.0,13.97,209546.0,5514.0,12558.0,330.0,207510.0,5461.0,12435.0,327.0,187154.0,4925.0,11215.0,295.0
93,  Ⅲ,16765038.0,38.0,9.19,211207.0,5558.0,12600.0,332.0,210454.0,5538.0,12554.0,330.0,189332.0,4982.0,11294.0,297.0
94,  Ⅳ,16844369.0,38.0,10.64,230637.0,6070.0,13693.0,360.0,228598.0,6015.0,13574.0,358.0,206894.0,5446.0,12286.0,324.0
95,67年,17042272.0,36.95,13.56,1011501.0,27375.0,59352.0,1606.0,1009170.0,27312.0,59216.0,1603.0,913778.0,24730.0,53618.0,1451.0
96,  Ⅰ,16916769.0,38.0,12.9,228875.0,6008.0,13524.0,355.0,229274.0,6019.0,13548.0,356.0,206893.0,5431.0,12225.0,321.0
97,  Ⅱ,16985043.0,38.0,12.35,248057.0,6511.0,14599.0,383.0,246093.0,6459.0,14483.0,380.0,223260.0,5860.0,13140.0,345.0
98,  Ⅲ,17063356.0,36.12,17.26,258919.0,7150.0,15168.0,419.0,259783.0,7174.0,15219.0,421.0,235426.0,6501.0,13792.0,381.0
99,  Ⅳ,17156731.0,35.68,11.92,275650.0,7706.0,16061.0,449.0,274020.0,7660.0,15966.0,446.0,248199.0,6938.0,14461.0,404.0
100,68年,17372779.0,36.0,8.83,1219596.0,33878.0,70202.0,1950.0,1219996.0,33889.0,70225.0,1951.0,1098774.0,30522.0,63247.0,1757.0
101,  Ⅰ,17238277.0,35.94,10.73,279629.0,7783.0,16213.0,451.0,280347.0,7803.0,16255.0,453.0,252549.0,7030.0,14642.0,408.0
102,  Ⅱ,17311551.0,36.01,9.93,300293.0,8342.0,17337.0,482.0,301037.0,8363.0,17380.0,483.0,271804.0,7551.0,15693.0,436.0
103,  Ⅲ,17393858.0,36.06,7.64,311605.0,8644.0,17906.0,497.0,311801.0,8650.0,17917.0,497.0,280476.0,7781.0,16117.0,447.0
104,  Ⅳ,17492224.0,36.03,7.3,328069.0,9109.0,18746.0,520.0,326811.0,9073.0,18673.0,518.0,293945.0,8160.0,16795.0,466.0
105,69年,17704538.0,36.0,8.04,1522625.0,42295.0,86002.0,2389.0,1520519.0,42237.0,85883.0,2386.0,1363321.0,37870.0,77004.0,2139.0
106,  Ⅰ,17578091.0,36.04,7.91,349969.0,9710.0,19901.0,552.0,351990.0,9767.0,20015.0,556.0,315513.0,8755.0,17941.0,498.0
107,  Ⅱ,17648339.0,36.04,8.39,373902.0,10374.0,21177.0,588.0,371406.0,10305.0,21036.0,584.0,333232.0,9246.0,18874.0,524.0
108,  Ⅲ,17724609.0,35.96,7.84,383668.0,10668.0,21637.0,602.0,385762.0,10727.0,21755.0,605.0,345401.0,9604.0,19479.0,542.0
109,  Ⅳ,17817939.0,35.96,8.01,415086.0,11543.0,23287.0,647.0,411361.0,11438.0,23077.0,641.0,369175.0,10265.0,20710.0,575.0
110,70年,18029982.0,36.79,7.11,1805043.0,49063.0,100113.0,2721.0,1795390.0,48801.0,99578.0,2707.0,1613077.0,43846.0,89466.0,2432.0
111,  Ⅰ,17901555.0,35.95,7.15,422959.0,11770.0,23619.0,657.0,421682.0,11734.0,23548.0,655.0,377503.0,10506.0,21081.0,587.0
112,  Ⅱ,17975802.0,36.36,7.14,451532.0,12423.0,25111.0,691.0,448807.0,12348.0,24959.0,687.0,401110.0,11037.0,22307.0,614.0
113,  Ⅲ,18058075.0,37.06,8.37,459833.0,12413.0,25456.0,687.0,458140.0,12367.0,25362.0,685.0,412139.0,11126.0,22816.0,616.0
114,  Ⅳ,18149379.0,37.8,5.84,470719.0,12457.0,25927.0,686.0,466761.0,12352.0,25709.0,680.0,422325.0,11177.0,23262.0,615.0
115,71年,18354855.0,39.12,4.8,1938394.0,49550.0,105607.0,2700.0,1937712.0,49533.0,105569.0,2699.0,1741915.0,44527.0,94902.0,2426.0
116,  Ⅰ,18227453.0,37.91,4.58,461896.0,12186.0,25323.0,668.0,463881.0,12238.0,25432.0,671.0,412661.0,10888.0,22625.0,597.0
117,  Ⅱ,18294665.0,38.78,5.13,488317.0,12594.0,26673.0,688.0,484976.0,12508.0,26490.0,684.0,433795.0,11190.0,23696.0,611.0
118,  Ⅲ,18371909.0,39.65,4.7,489592.0,12350.0,26630.0,672.0,491134.0,12389.0,26714.0,674.0,444009.0,11202.0,24151.0,610.0
119,  Ⅳ,18466206.0,40.15,4.77,498589.0,12420.0,26981.0,672.0,497721.0,12398.0,26933.0,670.0,451450.0,11247.0,24430.0,608.0
120,72年,18653146.0,40.06,9.04,2170005.0,54169.0,116335.0,2904.0,2173261.0,54250.0,116509.0,2908.0,1946334.0,48585.0,104343.0,2605.0
121,  Ⅰ,18547823.0,39.97,4.29,495528.0,12404.0,26716.0,668.0,501323.0,12549.0,27029.0,676.0,447716.0,11207.0,24138.0,604.0
122,  Ⅱ,18614026.0,40.03,8.41,548306.0,13705.0,29457.0,737.0,543403.0,13582.0,29193.0,729.0,484368.0,12106.0,26022.0,650.0
123,  Ⅲ,18683238.0,40.12,11.3,554907.0,13839.0,29701.0,741.0,558179.0,13920.0,29876.0,745.0,500111.0,12472.0,26768.0,668.0
124,  Ⅳ,18754456.0,40.19,11.79,571264.0,14221.0,30461.0,758.0,570356.0,14199.0,30411.0,758.0,514139.0,12800.0,27415.0,683.0
125,73年,18929866.0,39.62,10.05,2418884.0,61052.0,127781.0,3225.0,2448859.0,61809.0,129365.0,3265.0,2206303.0,55687.0,116551.0,2942.0
126,  Ⅰ,18816526.0,40.15,11.88,562284.0,14000.0,29858.0,743.0,570970.0,14216.0,30320.0,755.0,514624.0,12813.0,27329.0,680.0
127,  Ⅱ,18872694.0,39.77,11.66,619869.0,15581.0,32819.0,825.0,620554.0,15598.0,32855.0,826.0,555259.0,13957.0,29398.0,739.0
128,  Ⅲ,18939896.0,39.21,9.71,620261.0,15814.0,32723.0,834.0,632351.0,16121.0,33361.0,850.0,572975.0,14607.0,30228.0,771.0
129,  Ⅳ,19023146.0,39.36,7.31,616470.0,15657.0,32381.0,823.0,624984.0,15874.0,32829.0,834.0,563445.0,14310.0,29596.0,752.0
130,74年,19191510.0,39.86,4.81,2536012.0,63623.0,132142.0,3315.0,2583166.0,64806.0,134599.0,3377.0,2327221.0,58385.0,121263.0,3042.0
131,  Ⅰ,19095232.0,39.3,5.68,598491.0,15229.0,31327.0,797.0,614377.0,15633.0,32158.0,819.0,558260.0,14205.0,29221.0,744.0
132,  Ⅱ,19145377.0,39.82,4.24,641680.0,16116.0,33500.0,841.0,647713.0,16267.0,33814.0,849.0,574331.0,14423.0,29983.0,753.0
133,  Ⅲ,19203545.0,40.31,3.62,639119.0,15855.0,33265.0,825.0,654199.0,16230.0,34050.0,844.0,593584.0,14726.0,30894.0,766.0
134,  Ⅳ,19276757.0,39.99,5.76,656722.0,16423.0,34050.0,852.0,666877.0,16676.0,34577.0,865.0,601046.0,15031.0,31165.0,779.0
135,75年,19411454.0,37.85,11.52,2966911.0,78386.0,152843.0,4038.0,3043873.0,80419.0,156808.0,4143.0,2773615.0,73279.0,142885.0,3775.0
136,  Ⅰ,19336243.0,39.24,10.2,684160.0,17393.0,35382.0,900.0,704347.0,17907.0,36425.0,926.0,651855.0,16572.0,33711.0,857.0
137,  Ⅱ,19382372.0,38.38,9.57,734679.0,19096.0,37904.0,986.0,750650.0,19511.0,38727.0,1007.0,669214.0,17395.0,34526.0,898.0
138,  Ⅲ,19431510.0,37.47,12.32,761704.0,20279.0,39198.0,1043.0,779974.0,20766.0,40139.0,1069.0,713094.0,18985.0,36697.0,977.0
139,  Ⅳ,19483657.0,36.29,13.77,786368.0,21618.0,40359.0,1109.0,808902.0,22235.0,41517.0,1141.0,739452.0,20327.0,37951.0,1043.0
140,76年,19617046.0,31.87,12.7,3344962.0,104956.0,170513.0,5350.0,3418313.0,107258.0,174252.0,5468.0,3109963.0,97583.0,158534.0,4974.0
141,  Ⅰ,19528807.0,34.98,13.16,786725.0,22348.0,40265.0,1144.0,809426.0,22997.0,41427.0,1177.0,748321.0,21269.0,38298.0,1088.0
142,  Ⅱ,19572927.0,32.39,14.29,832223.0,25531.0,42498.0,1304.0,848429.0,26033.0,43325.0,1329.0,761475.0,23374.0,38884.0,1194.0
143,  Ⅲ,19627073.0,30.53,13.64,862293.0,28064.0,43912.0,1429.0,879938.0,28644.0,44810.0,1459.0,806199.0,26254.0,41054.0,1337.0
144,  Ⅳ,19692249.0,29.58,9.95,863721.0,29013.0,43838.0,1473.0,880520.0,29584.0,44690.0,1503.0,793968.0,26686.0,40298.0,1355.0
145,77年,19839704.0,28.61,8.02,3615319.0,126366.0,182226.0,6369.0,3712693.0,129769.0,187134.0,6541.0,3387085.0,118388.0,170723.0,5967.0
146,  Ⅰ,19744456.0,28.61,8.65,846978.0,29604.0,42870.0,1498.0,876596.0,30638.0,44368.0,1551.0,813359.0,28429.0,41166.0,1439.0
147,  Ⅱ,19788571.0,28.68,6.98,887744.0,30953.0,44832.0,1563.0,910270.0,31738.0,45970.0,1603.0,828177.0,28876.0,41823.0,1458.0
148,  Ⅲ,19846722.0,28.77,8.07,926609.0,32207.0,46658.0,1622.0,946872.0,32911.0,47678.0,1657.0,866099.0,30105.0,43610.0,1516.0
149,  Ⅳ,19917908.0,28.39,8.41,953988.0,33602.0,47866.0,1686.0,978955.0,34482.0,49118.0,1730.0,879450.0,30978.0,44124.0,1554.0
150,78年,20055492.0,26.41,8.75,4033071.0,152710.0,201096.0,7614.0,4133840.0,156526.0,206120.0,7805.0,3795599.0,143718.0,189255.0,7166.0
151,  Ⅰ,19974292.0,27.65,9.1,949158.0,34265.0,47507.0,1715.0,975671.0,35221.0,48835.0,1764.0,906837.0,32742.0,45388.0,1639.0
152,  Ⅱ,20017398.0,26.27,9.39,992328.0,37704.0,49561.0,1883.0,1005123.0,38190.0,50200.0,1907.0,921407.0,35015.0,46018.0,1749.0
153,  Ⅲ,20071532.0,25.74,8.47,1023333.0,39683.0,50972.0,1977.0,1052008.0,40796.0,52401.0,2032.0,969910.0,37618.0,48310.0,1874.0
154,  Ⅳ,20129675.0,25.97,8.11,1068252.0,41058.0,53056.0,2039.0,1101038.0,42319.0,54684.0,2102.0,997445.0,38343.0,49539.0,1904.0
155,79年,20278946.0,26.89,5.65,4480288.0,166615.0,220933.0,8216.0,4597595.0,170978.0,226718.0,8431.0,4183419.0,155575.0,206294.0,7672.0
156,  Ⅰ,20180709.0,26.18,7.5,1072990.0,40997.0,53160.0,2031.0,1104663.0,42206.0,54730.0,2091.0,1025699.0,39184.0,50816.0,1941.0
