year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
85,北部區域,2.6,2.7,2.4,7.6,6.0,9.3,6.7,7.6,6.1,3.5,4.0,2.9,2.0,2.3,1.6,1.6,1.9,1.1,1.6,2.0,0.9,1.5,2.0,0.7,1.4,1.8,0.3,1.2,1.5,0.2,1.0,1.1,0.7,0.2,0.2,0
85,臺北市,2.9,3.1,2.7,8.2,5.5,11.0,8.9,9.8,8.4,4.3,5.2,3.4,2.5,2.8,2.1,2.1,2.7,1.3,1.8,2.2,1.2,1.7,2.3,0.8,1.4,1.7,0.7,0.9,1.2,0.2,0.9,1.1,0.4,0.3,0.4,0
85,基隆市,3.7,3.9,3.3,13.5,13.1,14.0,9.5,13.4,7.0,4.7,5.3,4.0,2.9,3.6,1.6,1.5,1.7,1.2,1.1,1.1,1.1,1.7,2.5,0.1,2.6,3.6,0,2.0,2.3,0.7,1.0,1.3,0,0.6,0.8,0
85,新竹市,1.8,1.9,1.8,3.8,3.4,4.2,4.7,4.5,4.9,3.0,3.4,2.5,1.4,1.7,1.0,0.9,0.9,0.9,1.3,1.7,0.7,1.8,2.5,0.8,0.6,0.9,0,0.1,0,0.5,0,0,0,0,0,0
85,臺北縣,2.6,2.8,2.3,7.1,6.0,8.5,5.8,6.9,5.0,3.3,3.8,2.6,2.0,2.3,1.6,1.6,1.8,1.2,1.8,2.4,0.9,1.7,2.1,0.9,1.5,2.1,0.1,1.3,1.7,0,1.4,1.7,0.6,0.2,0.2,0
85,宜蘭縣,3.2,3.4,3.0,9.4,6.6,12.2,5.7,3.9,7.3,4.2,4.9,3.2,3.1,3.8,1.8,2.0,2.8,0.6,2.1,2.5,1.4,2.1,3.0,0.4,1.5,2.2,0,2.8,3.6,0.5,1.3,1.6,0,0.2,0.2,0
85,桃園縣,2.1,1.9,2.3,6.7,4.1,9.1,6.9,8.1,6.0,2.8,2.9,2.7,1.0,1.1,1.0,1.2,1.3,1.0,0.8,1.1,0.4,0.6,0.8,0.3,0.8,1.1,0,0.9,1.1,0,0.9,0.4,3.8,0,0,0
85,新竹縣,1.6,1.6,1.4,7.8,8.6,7.3,3.8,4.7,3.1,1.6,1.9,1.1,1.3,1.4,1.0,0.4,0.4,0.4,1.2,1.5,0.6,1.2,1.8,0,0.8,1.0,0.4,0.3,0,1.2,0.5,0.6,0,0,0,0
85,中部區域,2.4,2.4,2.3,7.4,6.6,8.5,6.6,7.4,5.9,3.6,3.8,3.3,1.8,2.0,1.3,1.2,1.6,0.6,1.2,1.6,0.5,0.8,1.0,0.3,1.0,1.3,0.2,0.7,0.9,0.1,0.3,0.4,0.2,0.2,0.2,0.1
85,臺中市,2.9,3.0,2.7,8.9,6.4,11.9,7.9,8.2,7.8,5.2,6.6,3.7,2.3,2.4,2.3,1.2,1.7,0.4,1.7,2.4,0.4,0.9,1.2,0.3,0.6,0.8,0,0.8,1.1,0,0.7,0.9,0,0.3,0,2.4
85,苗栗縣,2.3,2.3,2.5,10.0,9.9,10.2,7.3,8.0,6.7,3.0,3.0,2.9,1.4,1.7,1.0,1.5,1.7,1.1,0.8,1.1,0.1,0.9,1.1,0.5,1.1,1.6,0,0.5,0.7,0,0,0,0,0,0,0
85,臺中縣,2.5,2.7,2.3,8.5,8.4,8.7,6.2,7.5,5.2,3.2,3.0,3.4,1.7,2.2,0.8,1.6,2.1,0.6,1.2,1.7,0.3,0.7,1.1,0,1.3,1.8,0,0.5,0.7,0,0.4,0.5,0,0,0,0
85,彰化縣,2.1,2.1,2.1,5.7,4.6,7.1,6.3,7.1,5.6,3.3,3.5,3.0,1.8,2.2,0.7,1.1,1.4,0.6,0.6,0.8,0.2,0.6,0.7,0.2,0.8,0.9,0.5,0.9,1.2,0.2,0.5,0.6,0.3,0,0,0
85,南投縣,2.6,2.5,2.7,6.4,7.3,5.4,8.1,8.5,7.8,4.3,4.2,4.3,1.7,1.7,1.5,0.8,0.8,0.8,2.0,2.2,1.7,0.7,1.0,0.2,1.4,2.0,0.2,0.9,1.3,0,0.5,0.5,0.5,1.6,2.1,0
85,雲林縣,1.9,1.9,1.8,6.0,3.8,8.8,5.1,5.9,4.3,3.2,3.4,2.8,1.4,1.4,1.6,0.8,1.1,0.2,1.2,1.5,0.8,0.9,1.0,0.7,0.8,1.1,0.4,0.4,0.7,0,0,0,0,0,0,0
85,南部區域,2.7,2.9,2.4,7.1,7.1,7.1,6.8,7.2,6.5,3.8,4.1,3.3,2.4,2.8,1.6,2.0,2.4,1.3,1.5,2.1,0.6,1.5,2.0,0.6,1.1,1.5,0.4,1.2,1.5,0.4,0.5,0.6,0.1,0.1,0.1,0
85,高雄市,3.1,3.0,3.1,7.3,6.2,8.2,8.5,8.9,8.2,3.6,3.9,3.3,2.8,3.0,2.5,1.8,2.2,1.1,2.1,2.7,0.9,1.5,1.8,0.9,1.4,1.7,0.6,1.6,1.9,0.7,0.7,0.8,0,0,0,0
85,嘉義市,2.0,2.2,1.6,4.6,8.2,2.0,3.6,4.2,3.1,2.6,2.5,2.6,1.6,2.1,0.8,2.2,2.4,1.9,0.9,1.4,0,1.4,1.7,0.8,2.3,2.5,1.8,0,0,0,2.6,2.3,3.1,1.6,2.0,0
85,臺南市,3.5,3.9,3.1,7.3,6.4,8.3,9.0,9.7,8.5,5.8,6.6,4.7,2.6,3.1,2.0,2.8,3.4,2.1,2.1,3.1,0.6,1.7,2.3,0.8,1.4,1.7,0.9,1.4,2.0,0.3,0.1,0.2,0,0,0,0
85,嘉義縣,2.2,2.3,2.0,5.4,4.8,6.0,5.1,4.2,6.1,3.5,3.6,3.2,1.6,1.9,0.8,2.0,2.4,1.0,1.6,2.1,0.6,1.1,1.7,0,1.0,1.2,0.8,0.2,0.3,0.1,0.7,1.0,0,0,0,0
85,臺南縣,2.2,2.2,2.2,6.7,6.7,6.7,5.6,5.9,5.4,3.7,3.5,4.0,1.7,1.7,1.8,1.9,2.3,1.3,0.8,1.0,0.4,1.0,1.4,0.2,0.6,0.8,0.1,1.4,1.9,0.4,0.6,1.0,0,0,0,0
85,高雄縣,2.8,3.4,2.0,6.9,8.4,5.5,7.1,8.5,6.1,3.5,4.9,1.6,2.9,4.1,1.0,1.6,1.9,1.2,1.5,2.0,0.8,1.9,2.5,0.9,1.2,1.9,0,1.2,1.6,0.4,0,0,0,0,0,0
85,屏東縣,2.6,2.8,2.4,8.8,8.5,9.2,5.8,6.3,5.4,3.4,2.8,4.5,2.5,3.1,1.4,2.0,2.6,1.0,1.2,1.8,0.2,1.9,2.7,0.4,1.0,1.4,0.2,1.5,1.8,0.7,0.2,0.3,0,0,0,0
85,澎湖縣,1.9,2.0,1.5,11.1,11.9,10.0,2.3,2.8,1.8,2.7,3.8,0.6,1.6,2.3,0,1.7,1.8,1.5,0,0,0,0.2,0.3,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0
85,東部區域,3.4,3.6,3.1,9.9,9.5,10.3,6.6,7.0,6.3,4.9,5.0,4.7,2.9,3.3,2.1,2.9,3.2,2.2,1.9,2.5,0.8,2.4,3.2,1.0,1.6,2.1,0.7,1.8,2.5,0,1.8,2.3,0.4,0,0,0
85,臺東縣,3.4,3.3,3.6,12.1,10.6,13.7,8.4,8.7,8.2,4.3,4.0,4.9,2.9,3.2,2.2,2.7,2.9,2.3,1.2,1.7,0.3,2.1,2.8,1.1,1.6,1.7,1.6,0.7,1.1,0,1.3,1.5,0.7,0,0,0
85,花蓮縣,3.4,3.9,2.7,7.8,8.3,7.3,5.2,5.6,4.9,5.3,5.8,4.5,2.9,3.3,2.0,3.0,3.5,2.2,2.3,3.0,1.1,2.6,3.6,0.9,1.7,2.5,0,2.7,3.7,0,2.4,3.0,0,0,0,0
86,臺灣地區,2.72,2.94,2.37,7.35,6.52,8.25,6.76,7.46,6.23,3.68,4.11,3.09,2.15,2.64,1.34,1.84,2.33,1.05,1.63,2.08,0.89,1.61,2.10,0.73,1.76,2.34,0.53,1.31,1.71,0.31,0.80,1.01,0.21,0.28,0.32,0.12
86,北部區域,2.7,3.0,2.3,6.7,6.1,7.4,6.5,7.5,5.9,3.7,4.3,2.9,2.1,2.6,1.4,1.8,2.3,1.1,1.6,2.0,1.0,1.6,2.0,0.9,2.0,2.6,0.7,1.8,2.3,0.2,1.2,1.4,0.5,0.5,0.6,0.2
86,臺北市,2.9,3.2,2.5,7.9,7.7,8.2,8.1,8.5,7.9,4.4,5.6,3.3,2.7,3.2,2.0,2.2,2.5,1.7,1.4,1.8,0.9,1.8,2.2,1.1,2.1,2.7,1.1,2.0,2.8,0,1.1,1.3,0.5,0.4,0.5,0
86,基隆市,4.0,4.7,2.9,9.9,7.7,12.2,8.5,12.2,6.1,5.9,6.6,4.8,2.9,4.1,0.7,2.9,4.1,0.7,2.4,3.3,0.8,2.6,3.3,1.2,1.7,2.2,0,2.2,2.8,0,1.2,1.5,0,1.7,2.1,0
86,新竹市,2.1,2.4,1.8,6.2,4.8,8.0,4.4,5.0,4.0,2.4,2.4,2.4,1.6,2.2,0.9,1.0,1.4,0.5,1.8,2.4,1.1,2.3,3.4,0.6,2.2,2.8,1.1,0.7,1.0,0,0.9,1.2,0,0.4,0,2.2
86,臺北縣,2.7,3.0,2.3,6.2,6.0,6.5,6.1,6.8,5.5,3.7,4.1,3.1,1.7,2.1,1.2,1.5,2.1,0.7,1.8,2.2,1.2,1.6,2.0,0.9,2.7,3.5,0.8,2.2,2.8,0.5,1.5,1.6,0.9,1.0,1.1,0
86,宜蘭縣,3.3,3.7,2.5,7.1,5.3,9.0,7.4,10.3,5.1,4.5,5.1,3.5,2.5,2.7,2.0,2.2,3.1,0.7,2.3,3.1,1.0,1.7,2.2,0.8,2.4,3.5,0,2.1,2.7,0,1.2,1.6,0,0.7,0.8,0
86,桃園縣,2.3,2.5,2.0,6.7,5.7,7.7,6.3,7.2,5.7,2.5,3.0,1.9,2.1,2.9,0.9,1.8,2.3,1.0,1.2,1.7,0.5,0.7,0.9,0.4,0.6,0.8,0,0.9,1.1,0,1.0,1.2,0,0,0,0
86,新竹縣,1.5,1.7,1.2,4.4,4.9,3.9,3.3,4.6,2.3,2.1,2.9,0.9,1.0,1.2,0.7,1.4,1.6,1.2,0.6,0.3,1.1,1.1,1.6,0.3,0.5,0.7,0,1.0,1.3,0,0.7,0.7,1.0,0,0,0
86,中部區域,2.4,2.4,2.3,6.7,5.9,7.7,6.2,6.4,6.0,3.3,3.6,3.0,1.9,2.3,1.0,1.4,1.8,0.8,1.2,1.6,0.5,1.2,1.6,0.5,1.2,1.5,0.6,0.8,1.0,0.3,0.6,0.8,0.2,0.3,0.3,0.2
86,臺中市,2.9,3.1,2.6,10.4,9.2,11.6,6.8,7.1,6.6,5.0,6.1,3.9,2.5,3.2,1.6,1.6,2.3,0.6,1.5,1.9,1.0,1.1,1.6,0.2,0.6,0.8,0.4,0.7,1.0,0,0.7,0.9,0,1.0,0.8,2.0
86,苗栗縣,2.2,2.2,2.2,5.9,4.0,7.6,5.6,6.5,4.8,2.6,2.8,2.4,2.0,2.8,0.4,1.8,1.6,2.0,1.0,1.3,0.6,1.3,1.1,1.7,1.7,2.0,1.1,0.8,1.0,0,0.4,0.6,0,0.4,0.4,0
86,臺中縣,2.7,2.8,2.4,6.5,6.3,6.8,6.1,7.2,5.3,3.8,3.9,3.7,1.8,2.3,0.9,1.6,1.8,1.2,1.4,2.1,0.2,1.3,1.9,0.1,1.6,1.7,1.3,1.4,1.4,1.3,1.2,1.6,0,0,0,0
86,彰化縣,1.9,1.9,1.9,4.8,4.7,4.8,5.7,5.7,5.8,2.6,2.6,2.5,1.1,1.3,0.7,1.0,1.3,0.4,0.9,1.1,0.4,1.1,1.5,0.2,1.0,1.4,0,0.7,0.9,0.2,0.5,0.6,0.4,0.4,0.5,0
86,南投縣,2.6,2.7,2.5,5.8,4.0,7.5,7.3,6.6,8.0,3.4,3.6,3.0,2.6,3.3,1.3,1.8,2.6,0.2,1.4,2.0,0.4,1.3,1.1,1.5,2.0,2.7,0.8,0.6,0.9,0,1.2,1.5,0.4,0.3,0.4,0
86,雲林縣,2.0,1.9,2.1,9.0,6.5,12.4,6.1,5.2,6.9,2.2,2.7,1.2,1.8,2.0,1.4,1.1,1.6,0.1,0.7,0.8,0.4,1.1,1.5,0.4,0.7,0.9,0.3,0.3,0.5,0,0,0,0,0,0,0
86,南部區域,3.0,3.2,2.6,8.4,7.0,9.9,7.5,8.3,6.9,4.0,4.3,3.5,2.4,2.9,1.5,2.2,2.7,1.2,2.0,2.5,1.1,2.0,2.7,0.7,1.7,2.4,0.3,1.2,1.6,0.4,0.6,0.9,0.0,0.1,0.1,0.1
86,高雄市,3.7,3.8,3.5,12.0,9.5,14.4,9.9,10.5,9.4,5.4,5.8,4.9,2.7,3.2,1.8,1.7,2.5,0.5,1.8,2.2,1.2,2.4,3.1,1.0,2.2,2.9,0.2,1.4,1.8,0,1.0,1.2,0,0,0,0
86,嘉義市,2.4,2.8,1.8,5.9,8.5,2.9,4.6,3.3,5.4,3.4,5.1,1.2,2.3,2.1,2.6,2.9,3.6,1.6,1.4,1.7,0.8,2.3,3.3,0,0.8,1.2,0,0.7,1.0,0,0.7,0.9,0,0,0,0
86,臺南市,3.9,4.6,3.0,11.4,10.3,12.7,7.7,7.2,8.0,5.1,5.8,4.3,2.9,4.2,1.3,3.3,4.4,1.9,3.7,5.2,1.4,2.3,3.4,0.5,2.1,2.7,1.1,1.6,2.4,0,0.4,0.3,0.5,0.9,0.9,0.8
86,嘉義縣,2.4,2.5,2.2,6.1,5.0,7.3,5.6,6.3,5.0,3.5,4.0,2.4,2.7,2.8,2.4,2.8,2.8,2.7,1.1,1.4,0.6,1.3,1.9,0.3,0.7,1.0,0.3,0.5,0.3,0.8,0.3,0.5,0,0,0,0
86,臺南縣,2.3,2.5,1.9,7.7,6.9,8.5,6.6,7.9,5.6,2.8,3.0,2.6,1.7,2.3,0.6,1.8,2.4,0.8,1.2,1.5,0.7,1.5,1.9,0.9,1.1,1.4,0.4,1.4,1.9,0.6,0.5,0.8,0,0,0,0
86,高雄縣,2.9,3.2,2.5,5.4,4.0,6.7,7.8,9.0,6.9,3.6,3.9,3.2,2.4,3.0,1.3,1.9,2.5,0.9,1.9,2.4,1.1,2.0,2.6,1.1,2.2,3.4,0,1.2,1.5,0.6,0.6,0.9,0,0,0,0
86,屏東縣,3.0,3.2,2.5,9.5,7.2,12.1,6.4,8.0,5.1,3.5,3.7,3.2,2.3,2.6,1.8,2.1,2.2,1.8,2.5,3.0,1.6,1.9,2.9,0,2.1,3.1,0.1,1.6,2.1,0.4,1.0,1.5,0,0,0,0
86,澎湖縣,1.6,1.6,1.5,4.8,8.6,0.6,5.7,6.3,5.3,1.2,1.6,0.7,1.6,1.8,1.3,1.7,1.9,1.3,0.6,0.9,0,0,0,0,0.2,0,0.6,0,0,0,0,0,0,0,0,0
86,東部區域,3.3,3.7,2.5,12.1,13.8,10.0,7.5,8.7,6.5,3.5,3.7,3.0,2.7,2.9,2.4,2.2,3.0,0.8,2.5,3.6,0.6,1.6,2.2,0.5,2.7,4.1,0,1.8,2.5,0.3,1.1,1.2,0.7,0,0,0
86,臺東縣,3.0,3.4,2.4,15.1,18.2,10.9,7.6,6.7,8.5,1.9,2.3,1.3,1.9,2.1,1.4,2.1,3.0,0.3,2.0,2.8,0.7,2.1,3.2,0.3,2.6,4.2,0,1.5,2.0,0.6,1.4,1.5,1.3,0,0,0
86,花蓮縣,3.5,4.0,2.6,9.7,9.9,9.4,7.4,10.5,5.2,4.6,4.9,4.1,3.3,3.5,2.9,2.3,3.0,1.1,2.8,4.1,0.6,1.2,1.5,0.7,2.8,4.1,0,2.1,2.9,0,0.8,1.0,0,0,0,0
87,臺灣地區,2.69,2.93,2.33,8.26,8.23,8.29,7.01,8.20,6.13,3.61,4.07,2.99,2.06,2.45,1.44,1.76,2.21,1.04,1.60,2.01,0.96,1.64,2.17,0.68,1.60,2.01,0.73,1.20,1.55,0.32,0.68,0.89,0.09,0.19,0.17,0.27
87,北部區域,2.6,2.9,2.2,7.8,8.2,7.4,6.9,8.5,5.8,3.6,4.2,2.9,1.9,2.3,1.4,1.7,2.1,1.1,1.6,2.0,1.1,1.6,2.2,0.7,1.7,2.2,0.7,1.5,1.9,0.4,1.2,1.4,0.1,0.3,0.1,1.4
87,臺北市,2.6,2.9,2.2,8.0,9.7,6.1,7.1,9.1,5.9,4.5,5.3,3.8,2.4,2.8,2.0,1.9,2.3,1.5,1.6,1.9,1.2,1.5,2.0,0.6,1.0,1.2,0.6,0.8,1.0,0.3,1.2,1.6,0,0,0,0
87,基隆市,4.0,4.2,3.6,10.9,11.1,10.7,11.8,14.4,10.1,5.3,5.4,5.1,3.1,4.0,1.5,2.3,2.5,2.0,2.0,3.1,0.2,1.9,2.7,0.4,2.4,2.7,1.6,1.9,2.4,0,1.0,1.2,0,0,0,0
87,新竹市,2.5,2.9,1.9,6.7,7.6,5.7,6.0,9.4,3.9,2.2,2.3,2.2,2.0,2.6,1.3,1.8,2.9,0.4,2.4,2.0,2.9,1.3,1.7,0.7,2.0,2.3,1.4,1.1,1.6,0,1.3,1.6,0,0.7,0,3.6
87,臺北縣,2.8,3.1,2.4,7.9,7.6,8.4,7.2,8.4,6.3,3.4,3.9,2.7,1.6,2.0,1.1,1.8,2.1,1.2,1.6,2.0,1.0,1.9,2.5,0.7,2.3,2.9,0.8,2.0,2.4,0.8,1.5,1.8,0.3,0.8,0.2,4.2
87,宜蘭縣,3.4,3.7,3.0,7.4,4.2,10.5,6.9,9.3,5.2,4.0,5.0,2.4,2.8,2.8,2.8,2.1,2.4,1.7,3.0,3.5,2.2,1.7,1.8,1.6,4.4,5.3,2.3,4.1,5.2,0.3,1.0,1.2,0,0.2,0.3,0
87,桃園縣,2.1,2.3,1.7,6.2,6.5,5.9,5.3,6.4,4.5,2.9,3.4,2.2,1.7,1.9,1.3,1.1,1.5,0.4,1.2,1.7,0.3,1.3,1.7,0.4,0.8,1.2,0,0.4,0.6,0,0.5,0.6,0,0,0,0
87,新竹縣,2.3,2.7,1.5,11.0,18.2,3.9,6.2,8.3,4.6,2.5,3.8,0.9,0.7,1.1,0,1.1,1.6,0.3,2.0,1.6,2.6,1.4,1.3,1.5,1.4,2.1,0,1.1,1.5,0,1.3,1.6,0,0,0,0
87,中部區域,2.3,2.4,2.2,7.8,7.2,8.3,6.6,7.6,5.8,3.2,3.4,2.8,1.7,2.0,1.2,1.4,1.8,0.8,1.2,1.6,0.6,1.2,1.6,0.3,1.0,1.2,0.6,0.6,0.8,0.0,0.2,0.2,0,0.1,0.2,0
87,臺中市,2.8,3.1,2.4,7.2,5.5,9.5,8.2,10.2,7.0,4.4,4.8,4.0,1.8,2.4,0.9,1.6,2.3,0.6,1.7,2.2,1.0,1.4,1.8,0.6,1.3,1.7,0.5,1.5,2.0,0,0.4,0.5,0,0.7,0.9,0
87,苗栗縣,2.1,2.1,2.0,8.6,8.7,8.6,4.9,6.9,3.4,3.0,3.0,3.0,1.7,1.8,1.4,1.3,1.3,1.1,1.4,2.0,0.3,0.7,1.1,0,1.0,0.5,2.0,0.6,0.8,0,0.7,0.9,0,0.2,0.3,0
87,臺中縣,2.5,2.7,2.3,7.2,6.9,7.5,6.3,6.3,6.3,3.9,4.6,2.9,1.6,1.9,1.0,1.4,1.7,0.9,1.0,1.5,0.1,1.7,2.4,0.3,1.7,2.0,0.9,0.8,1.0,0.2,0.2,0.3,0,0,0,0
87,彰化縣,1.8,1.8,1.7,5.7,5.7,5.8,5.5,6.6,4.7,1.9,2.0,1.9,1.7,1.9,1.2,1.1,1.5,0.1,0.7,1.0,0.2,0.9,1.3,0,0.5,0.5,0.5,0.3,0.4,0,0.1,0.1,0,0.2,0.2,0
87,南投縣,2.5,2.2,2.9,11.8,12.5,11.0,8.8,8.2,9.3,2.8,2.6,3.1,1.0,0.8,1.5,1.5,1.8,1.1,1.9,2.0,1.6,1.1,1.4,0.4,0.9,1.3,0.2,0.4,0.6,0,0,0,0,0,0,0
87,雲林縣,2.3,2.4,2.1,9.4,7.5,11.2,6.9,9.5,4.6,2.7,3.1,2.1,2.3,2.5,1.7,1.8,2.1,1.2,1.3,1.2,1.4,0.7,0.8,0.6,0.7,1.0,0,0.3,0.5,0,0,0,0,0,0,0
87,南部區域,3.0,3.3,2.6,9.2,9.1,9.3,7.6,8.6,6.9,3.9,4.5,3.2,2.6,3.1,1.7,2.1,2.7,1.1,1.8,2.3,1.0,2.1,2.6,1.0,1.8,2.3,0.8,1.5,1.9,0.5,0.8,1.0,0.2,0.2,0.3,0
87,高雄市,3.4,3.7,3.0,10.4,10.9,9.8,9.0,10.1,8.2,4.6,5.6,3.4,3.2,3.9,2.2,1.9,2.5,1.1,1.5,2.0,0.6,2.2,2.5,1.4,2.1,2.4,1.3,2.1,2.7,0.3,1.5,1.7,0,0,0,0
87,嘉義市,2.5,3.0,1.8,4.5,1.8,7.7,5.9,6.4,5.7,2.4,2.9,1.8,3.3,3.9,2.4,2.3,3.4,0.5,1.4,2.1,0.3,1.8,2.8,0.1,0.8,1.1,0.2,1.4,2.0,0,3.0,4.3,0,0,0,0
87,臺南市,3.9,4.5,3.1,9.7,10.6,8.7,10.9,11.7,10.3,5.3,6.9,3.6,2.7,3.9,1.2,2.9,4.1,1.4,2.2,2.8,1.4,2.9,3.6,1.6,1.8,2.7,0.1,0.9,1.2,0.2,0.8,0.5,1.5,0.3,0.4,0
87,嘉義縣,2.5,2.8,1.8,10.5,12.3,8.6,7.2,8.1,6.2,2.8,3.3,1.8,1.9,2.5,0.4,1.9,2.5,0.6,1.2,1.7,0.3,1.0,1.6,0,1.5,2.2,0.3,1.3,1.5,1.0,0.3,0.4,0,0.7,1.0,0
87,臺南縣,2.9,3.3,2.3,9.2,10.0,8.5,7.1,9.6,5.2,3.3,3.8,2.7,2.3,2.7,1.5,2.5,3.1,1.5,2.2,2.7,1.4,2.2,3.1,0.8,1.8,1.7,1.9,1.4,1.6,1.0,0.7,1.1,0,0,0,0
87,高雄縣,2.9,3.0,2.8,6.3,5.3,7.5,6.2,6.2,6.2,4.0,3.7,4.3,2.8,3.0,2.6,1.9,2.2,1.4,2.2,2.6,1.4,1.6,2.1,0.7,1.8,2.6,0.2,1.4,2.0,0,0.7,0.8,0.4,0.3,0.3,0
87,屏東縣,2.8,3.1,2.3,12.4,10.3,14.8,6.4,7.5,5.6,3.8,4.3,2.9,1.6,2.1,0.7,1.6,2.2,0.5,1.5,2.1,0.4,2.4,3.0,1.2,2.1,2.8,0.8,1.5,1.7,0.7,0.6,0.9,0,0,0,0
87,澎湖縣,1.7,1.7,1.8,4.4,4.7,4.2,6.9,8.0,6.1,2.5,2.5,2.6,1.3,1.9,0,0.5,0.6,0.4,0.5,0.7,0,0.1,0,0.4,0.2,0.2,0,0.7,0.8,0,0,0,0,0,0,0
87,東部區域,3.0,3.4,2.4,10.1,10.1,10.0,6.0,6.2,5.8,4.0,4.1,3.7,2.6,3.3,1.2,2.3,3.2,0.7,2.1,2.6,1.1,1.6,2.3,0.3,2.3,3.1,0.8,1.2,1.8,0,0.6,0.8,0,0,0,0
87,臺東縣,3.3,3.7,2.6,13.1,12.1,14.3,5.9,5.7,6.2,3.4,3.8,2.6,3.2,4.1,0.8,2.7,3.7,0.5,2.6,3.3,1.3,1.6,2.4,0.3,2.6,3.5,1.0,1.5,2.2,0,0.4,0.6,0,0,0,0
87,花蓮縣,2.8,3.1,2.4,7.5,8.5,6.5,6.0,6.5,5.6,4.4,4.4,4.5,2.2,2.6,1.4,2.1,2.9,0.8,1.7,2.2,0.9,1.6,2.3,0.3,2.0,2.7,0.6,1.0,1.5,0,0.8,0.9,0,0,0,0
88,臺灣地區,2.92,3.23,2.46,9.03,8.62,9.50,6.83,7.96,5.99,3.82,4.36,3.11,2.42,2.85,1.75,2.08,2.59,1.28,1.87,2.45,0.95,1.89,2.40,1.02,1.79,2.43,0.45,1.35,1.73,0.41,0.87,1.08,0.25,0.29,0.33,0.18
