年別,臺灣地區,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,臺北市,高雄市,
69.0,48064.3298969,61802.6086957,38747.1559633,44713.8888889,42877.2222222,41239.028777,42628.0808081,41214.5794393,37880.6640625,33442.3236515,41250.3171247,38515.3518124,41394.8024948,37434.4195519,37665.5462185,45932.2245322,30815.5913978,52401.7857143,0,51734.4357977,0,50878.0793319,62613.876652,51687.3333333,
70.0,55624.0083507,69528.8172043,46849.5049505,52664.2147117,50145.5426357,46742.7777778,46842.0731707,43410.6813996,48319.5652174,36420.1232033,48369.2810458,42389.4291755,50547.008547,43681.027668,46422.2916667,50325.877193,42104.379562,57006.352459,0,60170.8074534,0,50562.1242485,76181.0933941,61130.7522124,
71.0,58069.6202532,66922.7272727,47936.3449692,50322.1774194,48139.2789374,44220.0371058,52161.5234375,44582.9944547,51566.4705882,43600.8316008,49037.2093023,47595.1002227,52189.380531,45935.3579176,51938.8773389,52628.1596452,40514.6067416,56317.9487179,59140.8477842,62568.0,58607.2052402,58558.9211618,83221.559633,62528.9532294,
72.0,62821.0191083,69745.5723542,44771.1065574,57144.7478992,51222.4952741,52912.248996,54714.2857143,49838.1578947,54444.8897796,45055.7692308,51578.2894737,52655.8951965,52216.4882227,53645.7983193,50831.3199105,55314.4766147,47462.5,67635.443038,66625.625,67111.6370809,67764.0969163,58594.1883768,89639.4077449,71102.5404157,
73.0,67146.3675214,74073.9696312,49477.8443114,66353.814433,59267.5889328,52104.1825095,57738.8663968,54376.9230769,57629.2307692,47655.257732,51840.3017241,58035.3333333,57545.1271186,53063.4573304,63347.9120879,59920.4761905,57603.6290323,71547.7876106,75160.0831601,72070.8333333,66065.1785714,67001.5184382,92049.6598639,75890.9512761,
74.0,69823.9651416,74036.7965368,57293.0327869,67245.1111111,62085.7731959,61826.8442623,61677.2256729,56403.7807183,60917.1656687,50035.0951374,52044.0347072,60327.2941176,61053.4216336,58538.8286334,62657.5431034,58918.1818182,58218.426501,72942.6339286,73331.8,77931.3432836,71788.0952381,67677.6785714,97867.1296296,74824.5454545,
75.0,75436.6445916,78621.978022,61886.7617108,73161.2288136,67162.8458498,65996.4583333,69752.2198732,61798.4615385,56465.6626506,56483.2229581,59953.3799534,62947.7958237,66741.0313901,66968.1922197,57037.4407583,68900.7142857,62412.4434389,78722.39819,84825.6521739,88611.2068966,70325.9009009,72913.258427,101390.186916,84767.6056338,
76.0,83103.6281179,85451.0250569,72792.1700224,81507.2527473,75102.3012552,71510.359408,73115.0826446,68588.0715706,71897.5824176,63592.8909953,65716.5517241,67630.8056872,71266.8997669,72743.5835351,65989.6,71743.2762836,60328.8209607,84319.2560175,94146.799117,107411.136891,78090.2325581,81568.7214612,109718.414918,88775.5813953,
77.0,95907.2429907,102015.151515,81146.3203463,90245.8715596,80902.5,81706.5957447,83922.2462203,77403.7735849,78011.8303571,70057.1084337,71427.4074074,78734.3825666,79593.3014354,86005.5023923,80738.3378016,84197.3333333,78150.6234414,99619.8598131,101458.426966,111559.775281,79770.7259953,95194.0639269,132225.0,103688.647343,
78.0,109410.352941,119209.026128,86266.9662921,108377.35426,98884.1666667,94659.0534979,99963.7813212,82990.4051173,91211.3744076,82561.7788462,79764.5408163,90637.3096447,96538.1995134,92755.9808612,85444.9468085,105761.202186,87648.1132075,112053.956835,125692.086331,123532.236842,107961.99095,110346.713615,143617.241379,114177.958237,
79.0,124140.095465,129098.122066,103998.823529,119049.069767,104989.217759,114608.240535,120355.681818,93944.2553191,99930.3030303,94118.3673469,89059.1511936,104979.533679,114603.431373,98084.057971,105713.218391,120403.394256,99963.8020833,121167.541766,126957.85877,136778.81549,125727.047146,125053.051643,166961.675127,133217.431193,
80.0,141163.942308,145905.980861,118052.027027,140165.661253,130899.336283,128424.545455,126704.319654,107091.503268,119038.625592,100639.303483,103891.450777,130716.489362,120087.160494,115439.312039,107048.974359,132432.533333,133608.446866,154604.976303,132745.475113,147749.419954,135914.640199,139288.967136,191068.5,157326.065163,
81.0,156023.414634,156489.52381,134132.638889,147100.714286,133427.950311,130383.826879,150457.709251,118354.464286,125821.026895,111960.0,119808.672087,137131.496063,137172.750643,143254.271357,130708.864266,146218.298969,111208.730159,177242.819843,152096.235294,175178.072289,151509.68523,148575.650118,211703.807107,171983.830846,
82.0,177531.463415,177650.947867,146666.666667,172911.084337,160792.873051,166630.56872,172125.171625,136392.765957,151267.710843,130276.455026,141020.949721,153127.248677,151191.022444,164764.164649,154288.101983,165585.945946,170389.802632,188643.316832,178563.065327,199645.631068,185872.413793,164922.113022,240039.447236,188567.336683,
83.0,191481.343284,192683.088235,163293.887531,187353.161593,172063.805104,167101.204819,176515.581395,152391.608392,158876.528117,145539.56044,131057.412399,160002.34375,169238.057743,166249.753695,166670.783133,196145.789474,135446.153846,210086.22449,205406.281407,207220.86514,193758.333333,166144.52381,265098.236776,209258.205128,
84.0,205923.350254,191958.0,196504.61165,209004.589372,194140.227273,182477.966102,177344.315545,161833.726415,175279.411765,156989.859155,153470.27027,173325.543478,171361.538462,197024.935065,188963.450292,213251.038576,143382.417582,197236.27451,231674.744898,228120.096852,197364.089776,192060.25,298339.410188,227712.466844,
85.0,210810.714286,204560.591133,178456.345178,207309.405941,204890.0,194162.962963,185164.53202,161452.657005,179923.902439,162369.166667,159291.122715,182677.631579,184431.283422,193577.55611,176822.51462,206699.460916,171879.480519,218151.851852,210004.914005,219739.175258,196437.755102,206340.561224,300200.791557,230531.578947,
86.0,224850.78125,225750.12987,194865.260546,230389.086294,208785.294118,196335.866983,187085.0,179457.142857,193586.979167,181412.295082,170390.106952,185372.346369,198745.092838,198509.711286,159023.955432,206231.081081,164954.632588,231496.927374,242272.559367,240559.125964,225827.595628,210230.25641,314313.984169,246157.951482,
87.0,231611.405836,227467.792208,194901.492537,238752.512563,217899.760766,181713.842482,207304.123711,189653.537736,187980.569948,195768.639053,176055.151515,190940.607735,194754.901961,196415.079365,171930.58104,213324.332344,163308.737864,219775.409836,256029.066667,262373.4375,249561.714286,215347.769029,331340.99723,248757.824934,
88.0,244918.181818,239970.967742,232872.394366,250477.984085,233956.280193,204675.590551,226736.26943,193149.104859,227798.408488,212760.17192,178562.5,211171.176471,203443.380282,215245.209581,168942.941176,209142.352941,186268.037975,242730.167598,261256.072351,285198.275862,246550.464396,224290.588235,336651.253482,260144.198895,
89.0,246255.524862,251462.678063,221787.327824,253975.773196,247438.014528,201060.969388,208789.896373,187578.465347,196614.016173,221841.214058,205661.756374,200201.666667,197183.898305,222349.855072,202942.405063,226182.012195,228627.868852,250980.813953,288539.370079,257603.921569,233729.190751,234188.352273,338190.437158,273280.813953,
90.0,242639.944134,244859.562842,203901.685393,240442.96875,245392.287234,195311.809045,194461.942257,185972.105263,195500.84507,224626.993865,189221.489971,197069.565217,186407.374631,201697.626113,201609.324759,227027.743902,202567.346939,221628.0,304372.375691,289228.732394,226392.507205,220223.428571,339256.824513,278517.052023,
91.0,239977.808219,244558.423913,198736.285714,251276.666667,227122.966507,197581.34715,203256.818182,191679.856115,183698.655914,200586.297376,172609.039548,193987.887324,198045.170455,226036.127168,199788.957055,200975.801749,203919.52862,204576.487252,278438.211382,250824.719101,237468.539326,226102.73224,357213.623188,250438.461538,
92.0,249762.606232,256420.963173,210582.972973,248638.341969,233273.433584,199542.307692,210194.308943,206598.987342,191984.225352,200477.97619,180628.445748,217522.580645,198568.154762,230308.206687,215203.819444,220775.528701,189692.903226,211050.290698,301188.547486,274497.421203,220629.428571,243476.504298,365696.142433,265778.823529,
93.0,254642.571429,258607.042254,207784.615385,260039.425587,240242.118227,202883.65651,204780.361757,206501.799486,220405.671642,200514.529915,193478.654971,208151.540616,214761.011905,219940.3125,203125.080386,236692.05298,229484.713376,253161.22449,328112.398922,252330.383481,223909.032258,240755.807365,380464.596273,275575.739645,
94.0,261571.345029,266156.980057,239789.212828,264219.034853,257501.711491,208363.95664,211373.458445,205209.919571,206193.663912,209930.420712,212212.8125,202076.331361,223147.129909,222550.750751,209625.614035,228532.413793,212296.959459,247920.679887,289001.851852,260489.940828,247077.81155,267841.254125,392385.396825,286949.249249,
95.0,267768.914956,283576.219512,227851.928783,265208.918919,244339.540816,243412.60745,216243.733333,214572.894737,231040.509915,229462.162162,210026.506024,214718.965517,213055.279503,222533.630952,214753.264605,256628.268551,239281.694915,242997.826087,333697.150997,288466.071429,245611.349693,259740.54878,377965.868263,293070.090634,
96.0,273335.502959,262347.126437,226848.942598,282757.464789,242714.666667,234812.784091,227322.343324,213288.736264,202299.439776,219773.509934,204771.474359,225951.987768,250609.177215,250350.314465,250159.375,247331.05802,215539.130435,263624.767802,367087.356322,306740.643275,240144.407895,271140.294118,389064.350453,299804.281346,
97.0,272742.38806,285062.170088,258515.853659,271965.155807,284478.074866,219286.627907,220907.297297,206669.836957,212893.693694,217560.810811,228268.292683,222457.926829,237839.329268,223283.757962,196146.822742,227133.986928,244150.0,261760.25641,330720.891365,277705.454545,247957.525084,273896.72619,386340.425532,292348.93617,
98.0,265750.0,265140.804598,239955.305466,268840.571429,274737.228261,213791.80791,219514.929577,210869.94382,228450.0,207072.727273,217976.470588,213604.559271,232990.265487,225211.764706,227056.802721,223025.85034,233615.59322,265588.0,323029.344729,263142.638037,241773.591549,263413.109756,387052.795031,291891.194969,
99.0,273647.0,273351.0,249995.0,272470.0,282953.0,230692.0,210649.0,212335.0,228920.0,204811.0,216608.0,221195.0,237674.0,223022.0,222905.0,251270.0,287265.0,273157.0,335580.0,279324.0,250342.0,252184.0,402056.0,311566.0,
